LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRAT,66,5,2,0,124
Allegany,06,01C,001-000,GREEN,1,0,0,0,2
Allegany,06,01C,001-000,LIBERTARIAN,3,0,0,0,5
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,3
Allegany,06,01C,001-000,REPUBLICAN,220,19,15,0,394
Allegany,06,01C,001-000,UNAFFILIATED,29,1,2,0,102
Allegany,06,01C,002-000,DEMOCRAT,57,7,4,1,153
Allegany,06,01C,002-000,GREEN,1,0,0,0,3
Allegany,06,01C,002-000,LIBERTARIAN,0,0,0,0,6
Allegany,06,01C,002-000,OTHER PARTIES,0,0,0,0,3
Allegany,06,01C,002-000,REPUBLICAN,235,18,8,2,426
Allegany,06,01C,002-000,UNAFFILIATED,38,1,2,1,117
Allegany,06,01C,003-000,DEMOCRAT,63,13,8,0,149
Allegany,06,01C,003-000,GREEN,0,0,0,0,1
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,2
Allegany,06,01C,003-000,OTHER PARTIES,1,1,0,0,3
Allegany,06,01C,003-000,REPUBLICAN,223,32,9,1,406
Allegany,06,01C,003-000,UNAFFILIATED,30,5,3,0,118
Allegany,06,01C,004-002,DEMOCRAT,80,15,10,1,318
Allegany,06,01C,004-002,GREEN,5,0,0,0,9
Allegany,06,01C,004-002,LIBERTARIAN,2,0,0,0,8
Allegany,06,01C,004-002,OTHER PARTIES,0,0,2,0,4
Allegany,06,01C,004-002,REPUBLICAN,78,9,5,0,224
Allegany,06,01C,004-002,UNAFFILIATED,37,6,4,0,189
Allegany,06,01C,004-003,DEMOCRAT,142,24,27,3,405
Allegany,06,01C,004-003,GREEN,0,0,0,0,5
Allegany,06,01C,004-003,LIBERTARIAN,2,0,0,1,12
Allegany,06,01C,004-003,OTHER PARTIES,2,2,0,0,10
Allegany,06,01C,004-003,REPUBLICAN,162,29,11,0,424
Allegany,06,01C,004-003,UNAFFILIATED,42,3,3,3,237
Allegany,06,01C,004-004,DEMOCRAT,222,72,40,4,508
Allegany,06,01C,004-004,GREEN,2,1,0,1,7
Allegany,06,01C,004-004,LIBERTARIAN,1,0,0,0,5
Allegany,06,01C,004-004,OTHER PARTIES,2,1,2,0,9
Allegany,06,01C,004-004,REPUBLICAN,294,66,13,5,573
Allegany,06,01C,004-004,UNAFFILIATED,63,8,3,2,183
Allegany,06,01C,004-005,DEMOCRAT,97,13,15,1,273
Allegany,06,01C,004-005,GREEN,2,0,0,0,3
Allegany,06,01C,004-005,LIBERTARIAN,2,0,0,0,6
Allegany,06,01C,004-005,OTHER PARTIES,3,0,0,0,9
Allegany,06,01C,004-005,REPUBLICAN,129,19,5,1,279
Allegany,06,01C,004-005,UNAFFILIATED,46,11,2,0,167
Allegany,06,01C,004-008,DEMOCRAT,166,42,18,7,441
Allegany,06,01C,004-008,GREEN,0,0,0,0,3
Allegany,06,01C,004-008,LIBERTARIAN,1,2,0,1,11
Allegany,06,01C,004-008,OTHER PARTIES,2,1,2,0,12
Allegany,06,01C,004-008,REPUBLICAN,236,60,14,6,532
Allegany,06,01C,004-008,UNAFFILIATED,51,5,3,0,226
Allegany,06,01B,005-004,DEMOCRAT,169,29,17,2,415
